node_id,x,y
N_0_0,0.0,0.0
N_0_1,0.0,1.0
N_0_2,0.0,2.0
N_0_3,0.0,3.0
N_0_4,0.0,4.0
N_0_5,0.0,5.0
N_0_6,0.0,6.0
N_0_7,0.0,7.0
N_0_8,0.0,8.0
N_0_9,0.0,9.0
N_1_0,1.0,0.0
N_1_1,1.0,1.0
N_1_2,1.0,2.0
N_1_3,1.0,3.0
N_1_4,1.0,4.0
N_1_5,1.0,5.0
N_1_6,1.0,6.0
N_1_7,1.0,7.0
N_1_8,1.0,8.0
N_1_9,1.0,9.0
N_2_0,2.0,0.0
N_2_1,2.0,1.0
N_2_2,2.0,2.0
N_2_3,2.0,3.0
N_2_4,2.0,4.0
N_2_5,2.0,5.0
N_2_6,2.0,6.0
N_2_7,2.0,7.0
N_2_8,2.0,8.0
N_2_9,2.0,9.0
N_3_0,3.0,0.0
N_3_1,3.0,1.0
N_3_2,3.0,2.0
N_3_3,3.0,3.0
N_3_4,3.0,4.0
N_3_5,3.0,5.0
N_3_6,3.0,6.0
N_3_7,3.0,7.0
N_3_8,3.0,8.0
N_3_9,3.0,9.0
N_4_0,4.0,0.0
N_4_1,4.0,1.0
N_4_2,4.0,2.0
N_4_3,4.0,3.0
N_4_4,4.0,4.0
N_4_5,4.0,5.0
N_4_6,4.0,6.0
N_4_7,4.0,7.0
N_4_8,4.0,8.0
N_4_9,4.0,9.0
N_5_0,5.0,0.0
N_5_1,5.0,1.0
N_5_2,5.0,2.0
N_5_3,5.0,3.0
N_5_4,5.0,4.0
N_5_5,5.0,5.0
N_5_6,5.0,6.0
N_5_7,5.0,7.0
N_5_8,5.0,8.0
N_5_9,5.0,9.0
N_6_0,6.0,0.0
N_6_1,6.0,1.0
N_6_2,6.0,2.0
N_6_3,6.0,3.0
N_6_4,6.0,4.0
N_6_5,6.0,5.0
N_6_6,6.0,6.0
N_6_7,6.0,7.0
N_6_8,6.0,8.0
N_6_9,6.0,9.0
N_7_0,7.0,0.0
N_7_1,7.0,1.0
N_7_2,7.0,2.0
N_7_3,7.0,3.0
N_7_4,7.0,4.0
N_7_5,7.0,5.0
N_7_6,7.0,6.0
N_7_7,7.0,7.0
N_7_8,7.0,8.0
N_7_9,7.0,9.0
N_8_0,8.0,0.0
N_8_1,8.0,1.0
N_8_2,8.0,2.0
N_8_3,8.0,3.0
N_8_4,8.0,4.0
N_8_5,8.0,5.0
N_8_6,8.0,6.0
N_8_7,8.0,7.0
N_8_8,8.0,8.0
N_8_9,8.0,9.0
N_9_0,9.0,0.0
N_9_1,9.0,1.0
N_9_2,9.0,2.0
N_9_3,9.0,3.0
N_9_4,9.0,4.0
N_9_5,9.0,5.0
N_9_6,9.0,6.0
N_9_7,9.0,7.0
N_9_8,9.0,8.0
N_9_9,9.0,9.0
