source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_1_1,1.5976084908876709,2.62,2.62,2.62,2.62,2.62,2.62,4.35,4.35,5.11,5.11,3.2,3.2,3.2,3.2,3.2,3.2,4.73,5.5,5.5,4.73,2.81,2.81,2.81,2.81
N_0_0,N_2_2,3.4447474412969536,3.51,3.51,3.51,3.51,3.51,3.51,5.37,5.37,6.2,6.2,4.13,4.13,4.13,4.13,4.13,4.13,5.79,6.61,6.61,5.79,3.72,3.72,3.72,3.72
N_0_0,N_0_3,3.190997786475405,3.25,3.25,3.25,3.25,3.25,3.25,4.98,4.98,5.74,5.74,3.83,3.83,3.83,3.83,3.83,3.83,5.36,6.13,6.13,5.36,3.45,3.45,3.45,3.45
N_0_1,N_3_1,8.010950351533793,4.45,4.45,4.45,4.45,4.45,4.45,5.53,5.53,6.01,6.01,4.81,4.81,4.81,4.81,4.81,4.81,5.77,6.25,6.25,5.77,4.57,4.57,4.57,4.57
N_0_1,N_2_2,3.74925564719353,3.82,3.82,3.82,3.82,3.82,3.82,5.85,5.85,6.75,6.75,4.5,4.5,4.5,4.5,4.5,4.5,6.3,7.2,7.2,6.3,4.05,4.05,4.05,4.05
N_0_1,N_1_3,4.442415030827502,4.53,4.53,4.53,4.53,4.53,4.53,6.93,6.93,8.0,8.0,5.33,5.33,5.33,5.33,5.33,5.33,7.46,8.53,8.53,7.46,4.8,4.8,4.8,4.8
N_0_10,N_3_10,5.513027849902626,5.62,5.62,5.62,5.62,5.62,5.62,8.6,8.6,9.92,9.92,6.62,6.62,6.62,6.62,6.62,6.62,9.26,10.59,10.59,9.26,5.95,5.95,5.95,5.95
N_0_10,N_0_11,4.3300744334879395,4.42,4.42,4.42,4.42,4.42,4.42,6.75,6.75,7.79,7.79,5.2,5.2,5.2,5.2,5.2,5.2,7.27,8.31,8.31,7.27,4.68,4.68,4.68,4.68
N_0_10,N_0_8,6.254035462224353,6.38,6.38,6.38,6.38,6.38,6.38,9.76,9.76,11.26,11.26,7.5,7.5,7.5,7.5,7.5,7.5,10.51,12.01,12.01,10.51,6.75,6.75,6.75,6.75
N_0_10,N_2_8,4.8584915989881505,4.96,4.96,4.96,4.96,4.96,4.96,7.58,7.58,8.75,8.75,5.83,5.83,5.83,5.83,5.83,5.83,8.16,9.33,9.33,8.16,5.25,5.25,5.25,5.25
N_0_10,N_2_10,6.245990727390426,6.37,6.37,6.37,6.37,6.37,6.37,9.74,9.74,11.24,11.24,7.5,7.5,7.5,7.5,7.5,7.5,10.49,11.99,11.99,10.49,6.75,6.75,6.75,6.75
N_0_10,N_0_7,4.830718309789413,4.93,4.93,4.93,4.93,4.93,4.93,7.54,7.54,8.7,8.7,5.8,5.8,5.8,5.8,5.8,5.8,8.12,9.27,9.27,8.12,5.22,5.22,5.22,5.22
N_0_10,N_2_11,9.396288836006319,5.21,5.21,5.21,5.21,5.21,5.21,6.48,6.48,7.05,7.05,5.64,5.64,5.64,5.64,5.64,5.64,6.77,7.33,7.33,6.77,5.36,5.36,5.36,5.36
N_0_10,N_0_13,1.5307671785089976,2.51,2.51,2.51,2.51,2.51,2.51,4.16,4.16,4.9,4.9,3.06,3.06,3.06,3.06,3.06,3.06,4.53,5.27,5.27,4.53,2.69,2.69,2.69,2.69
N_0_11,N_0_10,4.3300744334879395,4.42,4.42,4.42,4.42,4.42,4.42,6.75,6.75,7.79,7.79,5.2,5.2,5.2,5.2,5.2,5.2,7.27,8.31,8.31,7.27,4.68,4.68,4.68,4.68
N_0_11,N_0_8,1.2732895365213843,2.09,2.09,2.09,2.09,2.09,2.09,3.46,3.46,4.07,4.07,2.55,2.55,2.55,2.55,2.55,2.55,3.77,4.38,4.38,3.77,2.24,2.24,2.24,2.24
N_0_11,N_1_13,4.990093569974509,5.09,5.09,5.09,5.09,5.09,5.09,7.78,7.78,8.98,8.98,5.99,5.99,5.99,5.99,5.99,5.99,8.38,9.58,9.58,8.38,5.39,5.39,5.39,5.39
N_0_11,N_2_13,3.3157080242218715,3.38,3.38,3.38,3.38,3.38,3.38,5.17,5.17,5.97,5.97,3.98,3.98,3.98,3.98,3.98,3.98,5.57,6.37,6.37,5.57,3.58,3.58,3.58,3.58
N_0_12,N_0_10,3.169420651400518,3.23,3.23,3.23,3.23,3.23,3.23,4.94,4.94,5.7,5.7,3.8,3.8,3.8,3.8,3.8,3.8,5.32,6.09,6.09,5.32,3.42,3.42,3.42,3.42
N_0_12,N_1_14,6.992602391092197,7.13,7.13,7.13,7.13,7.13,7.13,10.91,10.91,12.59,12.59,8.39,8.39,8.39,8.39,8.39,8.39,11.75,13.43,13.43,11.75,7.55,7.55,7.55,7.55
N_0_12,N_3_12,2.3958087572061726,3.93,3.93,3.93,3.93,3.93,3.93,6.52,6.52,7.67,7.67,4.79,4.79,4.79,4.79,4.79,4.79,7.09,8.24,8.24,7.09,4.22,4.22,4.22,4.22
N_0_12,N_0_13,4.45324452260393,4.54,4.54,4.54,4.54,4.54,4.54,6.95,6.95,8.02,8.02,5.34,5.34,5.34,5.34,5.34,5.34,7.48,8.55,8.55,7.48,4.81,4.81,4.81,4.81
N_0_13,N_0_11,5.71624822765358,5.83,5.83,5.83,5.83,5.83,5.83,8.92,8.92,10.29,10.29,6.86,6.86,6.86,6.86,6.86,6.86,9.6,10.98,10.98,9.6,6.17,6.17,6.17,6.17
N_0_13,N_0_12,6.052337887194318,6.17,6.17,6.17,6.17,6.17,6.17,9.44,9.44,10.89,10.89,7.26,7.26,7.26,7.26,7.26,7.26,10.17,11.62,11.62,10.17,6.54,6.54,6.54,6.54
N_0_13,N_1_13,4.592136183809799,4.68,4.68,4.68,4.68,4.68,4.68,7.16,7.16,8.27,8.27,5.51,5.51,5.51,5.51,5.51,5.51,7.71,8.82,8.82,7.71,4.96,4.96,4.96,4.96
N_0_13,N_2_15,8.794140288095127,4.88,4.88,4.88,4.88,4.88,4.88,6.07,6.07,6.6,6.6,5.28,5.28,5.28,5.28,5.28,5.28,6.33,6.86,6.86,6.33,5.01,5.01,5.01,5.01
N_0_14,N_0_17,6.594716123144922,6.73,6.73,6.73,6.73,6.73,6.73,10.29,10.29,11.87,11.87,7.91,7.91,7.91,7.91,7.91,7.91,11.08,12.66,12.66,11.08,7.12,7.12,7.12,7.12
N_0_14,N_2_12,12.773504821754461,7.09,7.09,7.09,7.09,7.09,7.09,8.81,8.81,9.58,9.58,7.66,7.66,7.66,7.66,7.66,7.66,9.2,9.96,9.96,9.2,7.28,7.28,7.28,7.28
N_0_14,N_0_11,4.389701178954258,4.48,4.48,4.48,4.48,4.48,4.48,6.85,6.85,7.9,7.9,5.27,5.27,5.27,5.27,5.27,5.27,7.37,8.43,8.43,7.37,4.74,4.74,4.74,4.74
N_0_14,N_1_12,6.565326729415556,6.7,6.7,6.7,6.7,6.7,6.7,10.24,10.24,11.82,11.82,7.88,7.88,7.88,7.88,7.88,7.88,11.03,12.61,12.61,11.03,7.09,7.09,7.09,7.09
N_0_14,N_0_15,6.709297826892711,6.84,6.84,6.84,6.84,6.84,6.84,10.47,10.47,12.08,12.08,8.05,8.05,8.05,8.05,8.05,8.05,11.27,12.88,12.88,11.27,7.25,7.25,7.25,7.25
N_0_14,N_1_15,5.035022980697203,5.14,5.14,5.14,5.14,5.14,5.14,7.85,7.85,9.06,9.06,6.04,6.04,6.04,6.04,6.04,6.04,8.46,9.67,9.67,8.46,5.44,5.44,5.44,5.44
N_0_14,N_2_15,8.97213810426856,4.98,4.98,4.98,4.98,4.98,4.98,6.19,6.19,6.73,6.73,5.38,5.38,5.38,5.38,5.38,5.38,6.46,7.0,7.0,6.46,5.11,5.11,5.11,5.11
N_0_14,N_2_14,11.878150060817166,6.59,6.59,6.59,6.59,6.59,6.59,8.2,8.2,8.91,8.91,7.13,7.13,7.13,7.13,7.13,7.13,8.55,9.26,9.26,8.55,6.77,6.77,6.77,6.77
N_0_15,N_0_14,6.709297826892711,6.84,6.84,6.84,6.84,6.84,6.84,10.47,10.47,12.08,12.08,8.05,8.05,8.05,8.05,8.05,8.05,11.27,12.88,12.88,11.27,7.25,7.25,7.25,7.25
N_0_15,N_1_16,5.720435962598324,5.83,5.83,5.83,5.83,5.83,5.83,8.92,8.92,10.3,10.3,6.86,6.86,6.86,6.86,6.86,6.86,9.61,10.98,10.98,9.61,6.18,6.18,6.18,6.18
N_0_15,N_1_15,2.060525857676617,3.38,3.38,3.38,3.38,3.38,3.38,5.6,5.6,6.59,6.59,4.12,4.12,4.12,4.12,4.12,4.12,6.1,7.09,7.09,6.1,3.63,3.63,3.63,3.63
N_0_15,N_0_16,14.763852297538747,8.19,8.19,8.19,8.19,8.19,8.19,10.19,10.19,11.07,11.07,8.86,8.86,8.86,8.86,8.86,8.86,10.63,11.52,11.52,10.63,8.42,8.42,8.42,8.42
N_0_15,N_3_15,0.6108257000355541,1.0,1.0,1.0,1.0,1.0,1.0,1.66,1.66,1.95,1.95,1.22,1.22,1.22,1.22,1.22,1.22,1.81,2.1,2.1,1.81,1.08,1.08,1.08,1.08
N_0_15,N_0_17,9.152599559230868,5.08,5.08,5.08,5.08,5.08,5.08,6.32,6.32,6.86,6.86,5.49,5.49,5.49,5.49,5.49,5.49,6.59,7.14,7.14,6.59,5.22,5.22,5.22,5.22
N_0_15,N_2_16,4.384092329367492,4.47,4.47,4.47,4.47,4.47,4.47,6.84,6.84,7.89,7.89,5.26,5.26,5.26,5.26,5.26,5.26,7.37,8.42,8.42,7.37,4.73,4.73,4.73,4.73
N_0_16,N_0_15,14.763852297538747,8.19,8.19,8.19,8.19,8.19,8.19,10.19,10.19,11.07,11.07,8.86,8.86,8.86,8.86,8.86,8.86,10.63,11.52,11.52,10.63,8.42,8.42,8.42,8.42
N_0_16,N_1_18,1.6272360688625915,2.67,2.67,2.67,2.67,2.67,2.67,4.43,4.43,5.21,5.21,3.25,3.25,3.25,3.25,3.25,3.25,4.82,5.6,5.6,4.82,2.86,2.86,2.86,2.86
N_0_16,N_1_16,8.318232623039394,4.62,4.62,4.62,4.62,4.62,4.62,5.74,5.74,6.24,6.24,4.99,4.99,4.99,4.99,4.99,4.99,5.99,6.49,6.49,5.99,4.74,4.74,4.74,4.74
N_0_16,N_1_17,5.6045199099423995,5.72,5.72,5.72,5.72,5.72,5.72,8.74,8.74,10.09,10.09,6.73,6.73,6.73,6.73,6.73,6.73,9.42,10.76,10.76,9.42,6.05,6.05,6.05,6.05
