source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_2_0,2.0519998230924896,3.37,3.37,3.37,3.37,3.37,3.37,5.58,5.58,6.57,6.57,4.1,4.1,4.1,4.1,4.1,4.1,6.07,7.06,7.06,6.07,3.61,3.61,3.61,3.61
N_0_0,N_1_0,10.208171336413574,5.67,5.67,5.67,5.67,5.67,5.67,7.04,7.04,7.66,7.66,6.12,6.12,6.12,6.12,6.12,6.12,7.35,7.96,7.96,7.35,5.82,5.82,5.82,5.82
N_0_0,N_1_1,14.60036800034538,8.1,8.1,8.1,8.1,8.1,8.1,10.07,10.07,10.95,10.95,8.76,8.76,8.76,8.76,8.76,8.76,10.51,11.39,11.39,10.51,8.32,8.32,8.32,8.32
N_0_0,N_0_2,5.62175466117952,5.73,5.73,5.73,5.73,5.73,5.73,8.77,8.77,10.12,10.12,6.75,6.75,6.75,6.75,6.75,6.75,9.44,10.79,10.79,9.44,6.07,6.07,6.07,6.07
N_0_1,N_0_3,5.155909158669162,5.26,5.26,5.26,5.26,5.26,5.26,8.04,8.04,9.28,9.28,6.19,6.19,6.19,6.19,6.19,6.19,8.66,9.9,9.9,8.66,5.57,5.57,5.57,5.57
N_0_1,N_1_0,5.334131699782625,5.44,5.44,5.44,5.44,5.44,5.44,8.32,8.32,9.6,9.6,6.4,6.4,6.4,6.4,6.4,6.4,8.96,10.24,10.24,8.96,5.76,5.76,5.76,5.76
N_0_2,N_0_0,5.62175466117952,5.73,5.73,5.73,5.73,5.73,5.73,8.77,8.77,10.12,10.12,6.75,6.75,6.75,6.75,6.75,6.75,9.44,10.79,10.79,9.44,6.07,6.07,6.07,6.07
N_0_2,N_1_2,6.168317457451856,6.29,6.29,6.29,6.29,6.29,6.29,9.62,9.62,11.1,11.1,7.4,7.4,7.4,7.4,7.4,7.4,10.36,11.84,11.84,10.36,6.66,6.66,6.66,6.66
N_0_3,N_0_1,5.155909158669162,5.26,5.26,5.26,5.26,5.26,5.26,8.04,8.04,9.28,9.28,6.19,6.19,6.19,6.19,6.19,6.19,8.66,9.9,9.9,8.66,5.57,5.57,5.57,5.57
N_0_3,N_0_4,2.221559404468996,3.64,3.64,3.64,3.64,3.64,3.64,6.04,6.04,7.11,7.11,4.44,4.44,4.44,4.44,4.44,4.44,6.58,7.64,7.64,6.58,3.91,3.91,3.91,3.91
