node_id,x,y
N_0_0,0.0,0.0
N_0_1,0.0,1.0
N_0_10,0.0,10.0
N_0_11,0.0,11.0
N_0_12,0.0,12.0
N_0_13,0.0,13.0
N_0_14,0.0,14.0
N_0_15,0.0,15.0
N_0_16,0.0,16.0
N_0_17,0.0,17.0
N_0_18,0.0,18.0
N_0_19,0.0,19.0
N_0_2,0.0,2.0
N_0_20,0.0,20.0
N_0_21,0.0,21.0
N_0_22,0.0,22.0
N_0_23,0.0,23.0
N_0_24,0.0,24.0
N_0_25,0.0,25.0
N_0_26,0.0,26.0
N_0_27,0.0,27.0
N_0_28,0.0,28.0
N_0_29,0.0,29.0
N_0_3,0.0,3.0
N_0_30,0.0,30.0
N_0_31,0.0,31.0
N_0_32,0.0,32.0
N_0_33,0.0,33.0
N_0_34,0.0,34.0
N_0_35,0.0,35.0
N_0_36,0.0,36.0
N_0_37,0.0,37.0
N_0_38,0.0,38.0
N_0_39,0.0,39.0
N_0_4,0.0,4.0
N_0_5,0.0,5.0
N_0_6,0.0,6.0
N_0_7,0.0,7.0
N_0_8,0.0,8.0
N_0_9,0.0,9.0
N_10_0,10.0,0.0
N_10_1,10.0,1.0
N_10_10,10.0,10.0
N_10_11,10.0,11.0
N_10_12,10.0,12.0
N_10_13,10.0,13.0
N_10_14,10.0,14.0
N_10_15,10.0,15.0
N_10_16,10.0,16.0
N_10_17,10.0,17.0
N_10_18,10.0,18.0
N_10_19,10.0,19.0
N_10_2,10.0,2.0
N_10_20,10.0,20.0
N_10_21,10.0,21.0
N_10_22,10.0,22.0
N_10_23,10.0,23.0
N_10_24,10.0,24.0
N_10_25,10.0,25.0
N_10_26,10.0,26.0
N_10_27,10.0,27.0
N_10_28,10.0,28.0
N_10_29,10.0,29.0
N_10_3,10.0,3.0
N_10_30,10.0,30.0
N_10_31,10.0,31.0
N_10_32,10.0,32.0
N_10_33,10.0,33.0
N_10_34,10.0,34.0
N_10_35,10.0,35.0
N_10_36,10.0,36.0
N_10_37,10.0,37.0
N_10_38,10.0,38.0
N_10_39,10.0,39.0
N_10_4,10.0,4.0
N_10_5,10.0,5.0
N_10_6,10.0,6.0
N_10_7,10.0,7.0
N_10_8,10.0,8.0
N_10_9,10.0,9.0
N_11_0,11.0,0.0
N_11_1,11.0,1.0
N_11_10,11.0,10.0
N_11_11,11.0,11.0
N_11_12,11.0,12.0
N_11_13,11.0,13.0
N_11_14,11.0,14.0
N_11_15,11.0,15.0
N_11_16,11.0,16.0
N_11_17,11.0,17.0
N_11_18,11.0,18.0
N_11_19,11.0,19.0
N_11_2,11.0,2.0
N_11_20,11.0,20.0
N_11_21,11.0,21.0
N_11_22,11.0,22.0
N_11_23,11.0,23.0
N_11_24,11.0,24.0
N_11_25,11.0,25.0
N_11_26,11.0,26.0
N_11_27,11.0,27.0
N_11_28,11.0,28.0
N_11_29,11.0,29.0
N_11_3,11.0,3.0
N_11_30,11.0,30.0
N_11_31,11.0,31.0
N_11_32,11.0,32.0
N_11_33,11.0,33.0
N_11_34,11.0,34.0
N_11_35,11.0,35.0
N_11_36,11.0,36.0
N_11_37,11.0,37.0
N_11_38,11.0,38.0
N_11_39,11.0,39.0
N_11_4,11.0,4.0
N_11_5,11.0,5.0
N_11_6,11.0,6.0
N_11_7,11.0,7.0
N_11_8,11.0,8.0
N_11_9,11.0,9.0
N_12_0,12.0,0.0
N_12_1,12.0,1.0
N_12_10,12.0,10.0
N_12_11,12.0,11.0
N_12_12,12.0,12.0
N_12_13,12.0,13.0
N_12_14,12.0,14.0
N_12_15,12.0,15.0
N_12_16,12.0,16.0
N_12_17,12.0,17.0
N_12_18,12.0,18.0
N_12_19,12.0,19.0
N_12_2,12.0,2.0
