source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_1_1,3.1488832366495254,3.21,3.21,3.21,3.21,3.21,3.21,4.91,4.91,5.67,5.67,3.78,3.78,3.78,3.78,3.78,3.78,5.29,6.05,6.05,5.29,3.4,3.4,3.4,3.4
N_0_0,N_2_0,12.651744906381824,7.02,7.02,7.02,7.02,7.02,7.02,8.73,8.73,9.49,9.49,7.59,7.59,7.59,7.59,7.59,7.59,9.11,9.87,9.87,9.11,7.21,7.21,7.21,7.21
N_0_0,N_0_1,6.416621187332035,6.54,6.54,6.54,6.54,6.54,6.54,10.01,10.01,11.55,11.55,7.7,7.7,7.7,7.7,7.7,7.7,10.78,12.32,12.32,10.78,6.93,6.93,6.93,6.93
N_0_0,N_2_1,3.5926152672147786,3.66,3.66,3.66,3.66,3.66,3.66,5.6,5.6,6.47,6.47,4.31,4.31,4.31,4.31,4.31,4.31,6.04,6.9,6.9,6.04,3.88,3.88,3.88,3.88
N_0_0,N_1_0,4.358541561915107,4.45,4.45,4.45,4.45,4.45,4.45,6.8,6.8,7.85,7.85,5.23,5.23,5.23,5.23,5.23,5.23,7.32,8.37,8.37,7.32,4.71,4.71,4.71,4.71
N_0_0,N_1_2,5.2784514506936375,5.38,5.38,5.38,5.38,5.38,5.38,8.23,8.23,9.5,9.5,6.33,6.33,6.33,6.33,6.33,6.33,8.87,10.13,10.13,8.87,5.7,5.7,5.7,5.7
N_0_1,N_0_0,6.416621187332035,6.54,6.54,6.54,6.54,6.54,6.54,10.01,10.01,11.55,11.55,7.7,7.7,7.7,7.7,7.7,7.7,10.78,12.32,12.32,10.78,6.93,6.93,6.93,6.93
N_0_1,N_1_2,2.35263576925384,3.86,3.86,3.86,3.86,3.86,3.86,6.4,6.4,7.53,7.53,4.71,4.71,4.71,4.71,4.71,4.71,6.96,8.09,8.09,6.96,4.14,4.14,4.14,4.14
N_0_1,N_2_2,13.574148743450085,7.53,7.53,7.53,7.53,7.53,7.53,9.37,9.37,10.18,10.18,8.14,8.14,8.14,8.14,8.14,8.14,9.77,10.59,10.59,9.77,7.74,7.74,7.74,7.74
N_0_10,N_0_9,5.641365498952989,5.75,5.75,5.75,5.75,5.75,5.75,8.8,8.8,10.15,10.15,6.77,6.77,6.77,6.77,6.77,6.77,9.48,10.83,10.83,9.48,6.09,6.09,6.09,6.09
N_0_10,N_1_9,3.5386149986544226,3.61,3.61,3.61,3.61,3.61,3.61,5.52,5.52,6.37,6.37,4.25,4.25,4.25,4.25,4.25,4.25,5.94,6.79,6.79,5.94,3.82,3.82,3.82,3.82
