source,destination,distance,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23
N_0_0,N_2_2,3.737001084915839,3.81,3.81,3.81,3.81,3.81,3.81,5.83,5.83,6.73,6.73,4.48,4.48,4.48,4.48,4.48,4.48,6.28,7.18,7.18,6.28,4.04,4.04,4.04,4.04
N_0_0,N_3_0,4.599596749701988,4.69,4.69,4.69,4.69,4.69,4.69,7.18,7.18,8.28,8.28,5.52,5.52,5.52,5.52,5.52,5.52,7.73,8.83,8.83,7.73,4.97,4.97,4.97,4.97
N_0_0,N_2_1,0.5910972624744983,0.97,0.97,0.97,0.97,0.97,0.97,1.61,1.61,1.89,1.89,1.18,1.18,1.18,1.18,1.18,1.18,1.75,2.03,2.03,1.75,1.04,1.04,1.04,1.04
N_0_1,N_2_0,6.613524851689887,6.75,6.75,6.75,6.75,6.75,6.75,10.32,10.32,11.9,11.9,7.94,7.94,7.94,7.94,7.94,7.94,11.11,12.7,12.7,11.11,7.14,7.14,7.14,7.14
N_0_1,N_1_0,4.072857807656003,4.15,4.15,4.15,4.15,4.15,4.15,6.35,6.35,7.33,7.33,4.89,4.89,4.89,4.89,4.89,4.89,6.84,7.82,7.82,6.84,4.4,4.4,4.4,4.4
N_0_1,N_0_4,14.450646022432604,8.02,8.02,8.02,8.02,8.02,8.02,9.97,9.97,10.84,10.84,8.67,8.67,8.67,8.67,8.67,8.67,10.4,11.27,11.27,10.4,8.24,8.24,8.24,8.24
N_0_1,N_2_1,8.3198553034736,4.62,4.62,4.62,4.62,4.62,4.62,5.74,5.74,6.24,6.24,4.99,4.99,4.99,4.99,4.99,4.99,5.99,6.49,6.49,5.99,4.74,4.74,4.74,4.74
N_0_1,N_0_2,5.529241592372532,5.64,5.64,5.64,5.64,5.64,5.64,8.63,8.63,9.95,9.95,6.64,6.64,6.64,6.64,6.64,6.64,9.29,10.62,10.62,9.29,5.97,5.97,5.97,5.97
N_0_10,N_1_11,9.163573130196559,5.09,5.09,5.09,5.09,5.09,5.09,6.32,6.32,6.87,6.87,5.5,5.5,5.5,5.5,5.5,5.5,6.6,7.15,7.15,6.6,5.22,5.22,5.22,5.22
N_0_10,N_2_10,1.3543532823246094,2.22,2.22,2.22,2.22,2.22,2.22,3.68,3.68,4.33,4.33,2.71,2.71,2.71,2.71,2.71,2.71,4.01,4.66,4.66,4.01,2.38,2.38,2.38,2.38
N_0_10,N_2_11,8.698392161342783,4.83,4.83,4.83,4.83,4.83,4.83,6.0,6.0,6.52,6.52,5.22,5.22,5.22,5.22,5.22,5.22,6.26,6.78,6.78,6.26,4.96,4.96,4.96,4.96
